deck,front,back,tags,note_type,media
PMBOK6 - Core Terms,How are OPAs updated during a project?,"Processes are rarely changed, but knowledge bases (e.g., lessons learned) are continuously updated.",KA::Integration, Basic,
PMBOK6 - Core Terms,What is the role of organizational governance?,"To provide a framework of rules, roles, and oversight ensuring alignment with organizational objectives.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What type of organizational structure gives the project manager full authority?,"Projectized structure.",KA::Integration ECO::People, Basic,
PMBOK6 - Core Terms,In which structure does the functional manager control the budget and resources?,"Functional or Weak Matrix structure.",KA::Integration, Basic,
PMBOK6 - Core Terms,Which matrix structure offers a balance of power between project and functional managers?,"Balanced Matrix.",KA::Integration, Basic,
PMBOK6 - Core Terms,{{c1::Strong Matrix}} organizations give more authority and resources to the project manager.,Strong Matrix,KA::Integration PG::Executing, Cloze,
PMBOK6 - Core Terms,Which structure type uses full-time project managers and high PM authority?,"Projectized and Strong Matrix.",KA::Integration ECO::People, Basic,
PMBOK6 - Core Terms,What is the purpose of a PMO (Project Management Office)?,"To standardize governance, manage shared resources, and support or control projects.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What is a Project Management Office (PMO)?,"An organizational structure that standardizes project governance and facilitates sharing of resources, tools, and techniques.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What does a Supportive PMO do?,"Provides a consultative role with templates, best practices, training, and lessons learned. Control is low.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What does a Controlling PMO do?,"Requires compliance with frameworks, tools, and governance. Control is moderate.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,What does a Directive PMO do?,"Directly manages projects. Project managers report to the PMO. Control is high.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,{{c1::Directive PMO}} has the highest level of control over projects.,Directive PMO,KA::Integration ECO::Business, Cloze,
PMBOK6 - Core Terms,How does a PMO support strategic alignment?,"By integrating data from strategic projects and evaluating fulfillment of higher-level objectives.",KA::Integration ECO::Business, Basic,
PMBOK6 - Core Terms,True or False: Projects managed by a PMO must be related to each other.,"False. Projects may be unrelated and simply managed together by the PMO.",KA::Integration, Basic,
PMBOK6 - Core Terms,What is the primary responsibility of the project manager?,To lead the project team toward achieving the project objectives.,KA::Integration ECO::People, Basic,
PMBOK6 - Core Terms,"When might a project manager be involved before project initiation?","During evaluation of strategic ideas, business case development, or portfolio discussions.",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"{{c1::A project manager}} is assigned by the performing organization to lead the project team.","A project manager",KA::Integration,Cloze,
PMBOK6 - Core Terms,"How does a project manager's role differ from that of a functional manager?","The project manager focuses on achieving project objectives, while functional managers oversee operational areas.",KA::Integration,Basic,
PMBOK6 - Core Terms,"What five spheres does the project manager influence?","Project team, Organization, Industry, Professional discipline, Across disciplines",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What is one way a project manager contributes to organizational maturity?","By advocating project management practices and knowledge sharing.",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"What are the three components of the PMI Talent Triangle?","Technical Project Management, Leadership, Strategic and Business Management",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"How is leadership different from management in a project context?","Leadership involves vision and motivation; management focuses on control and execution.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Strategic and Business Management}} skills help align projects with organizational goals.","Strategic and Business Management",KA::Integration ECO::Business,Cloze,
PMBOK6 - Core Terms,"Which leadership style focuses on serving others and building collaboration?","Servant leadership",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What type of power comes from knowledge or certification?","Expert power",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What should a project manager consider when choosing a leadership style?","The situation, team dynamics, and organizational context.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Integration at which level involves coordinating processes like scope and change control?","Process level",KA::Integration,Basic,
PMBOK6 - Core Terms,"What is one key aspect of integration at the context level?","Understanding external influences like technology, virtual teams, and multicultural factors.",KA::Integration,Basic,
PMBOK6 - Core Terms,"What are three dimensions of complexity in projects?","System behavior, Human behavior, Ambiguity",KA::Integration,Basic,
PMBOK6 - Core Terms,"Which leadership style emphasizes inspiration, innovation, and individual consideration?","Transformational leadership",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Why is political awareness important for project managers?","To build alliances, navigate influence, and make effective decisions.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What is the primary goal of technical project management skills?","To apply project knowledge effectively to deliver successful outcomes.",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"Which four artifacts should a project manager keep readily available to focus on technical success?","Critical success factors, Schedule, Financial reports, Issue log",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"{{c1::Tailoring tools and methods}} is a key technical project management skill for adapting to project needs.","Tailoring tools and methods",KA::Integration ECO::Process,Cloze,
PMBOK6 - Core Terms,"What is one reason top-performing project managers make time to plan thoroughly?","To prioritize work effectively and increase chances of project success.",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"Strategic and business management skills help project managers do what?","Align projects with organizational strategy and deliver business value.",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"Which business areas should a project manager understand to support strategic alignment?","Finance, Marketing, Operations, Products, Market conditions, and Competition",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"How can strategic business knowledge help a project manager make better decisions?","By analyzing risks, cost-benefit tradeoffs, and aligning with business value",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"What is domain knowledge and why is it important?","Domain knowledge is expertise in the industry or product area; it helps in aligning project strategy with business needs.",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"{{c1::Leadership skills}} involve guiding, motivating, and influencing teams to achieve goals.","Leadership skills",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"What are the most critical people-oriented capabilities a project manager should master?","Communication, conflict resolution, negotiation, empathy, and critical thinking",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What percentage of time do top project managers reportedly spend on communication?","About 90%",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Why is political acumen important for project leaders?","To build trust, manage conflicts, and navigate organizational dynamics.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which leadership trait helps in managing diverse stakeholder expectations while maintaining focus?","Building trust and balancing opposing goals through consensus",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"How should a project manager handle feedback?","By accepting it graciously and providing constructive responses.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Name three traits of a visionary project leader.","Ability to articulate goals, inspire others, and align with organizational mission",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which prioritization habits are associated with strong leadership?","Frequent reassessment of priorities, filtering essential data, focusing on success factors",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which leadership skill enables the project manager to serve as a change agent?","Applying critical thinking and taking a systemic project view",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What type of power does a project manager use when they rely on their formal job title or organizational role to influence others?","Positional (also called formal, legitimate, or authoritative)",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Positional power}} is based on the authority granted by the organization or team structure.","Positional power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"A project manager controls access to data and decision-making by managing how information is shared. What type of power is this?","Informational",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Informational power}} is based on control of information flow and access.","Informational power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"When a project manager earns influence through respect and personal credibility, they are using what kind of power?","Referent",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Referent power}} comes from the admiration and respect others have for the individual.","Referent power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which form of power is derived from the uniqueness of a situation, such as handling a crisis that only one person can resolve?","Situational",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Situational power}} arises due to specific events or emergencies.","Situational power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"A charismatic leader who inspires and motivates others through personality is displaying what kind of power?","Personal or Charismatic",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Charismatic power}} relies on charm and personal appeal.","Charismatic power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Project managers who build alliances and network effectively to influence outcomes are using what type of power?","Relational",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Relational power}} comes from a network of connections and relationships.","Relational power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"What type of power is demonstrated by a project manager who is trusted due to certifications and experience?","Expert",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Expert power}} is based on skills, knowledge, or credentials.","Expert power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"What type of power is used when a manager motivates team members by offering bonuses or public praise?","Reward-oriented",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Reward power}} involves the ability to offer recognition or benefits.","Reward power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"When a project manager influences behavior by threatening consequences, what power type are they using?","Punitive or Coercive",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Coercive power}} is based on the ability to administer discipline or penalties.","Coercive power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Flattery and finding common ground to gain cooperation is an example of what type of power?","Ingratiating",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Ingratiating power}} involves using praise to gain favor.","Ingratiating power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Restricting options to force compliance is an example of what type of power?","Pressure-based",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Pressure-based power}} limits freedom of action to influence behavior.","Pressure-based power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Invoking a sense of obligation to gain compliance is an example of what kind of power?","Guilt-based",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Guilt-based power}} leverages a person's duty or conscience.","Guilt-based power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"What type of power is used when convincing arguments are made to shift decisions?","Persuasive",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Persuasive power}} involves using logic and reasoning to influence decisions.","Persuasive power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"A project manager who consistently avoids responsibility or participation may be demonstrating what type of power?","Avoiding",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Avoiding power}} is shown by withdrawal or lack of involvement.","Avoiding power",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which leadership style involves a hands-off approach, allowing the team to make decisions?","Laissez-faire",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Laissez-faire leadership}} allows the team to set goals and make decisions independently.","Laissez-faire leadership",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which leadership style focuses on feedback, rewards, and management by exception?","Transactional",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Transactional leadership}} emphasizes structured goals and reward-based outcomes.","Transactional leadership",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which leadership style puts others first and focuses on growth, autonomy, and collaboration?","Servant leader",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Servant leadership}} emphasizes service to others, collaboration, and people development.","Servant leadership",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which leadership style empowers followers and encourages innovation and creativity?","Transformational",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Transformational leadership}} motivates teams with vision, innovation, and individualized support.","Transformational leadership",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which leadership style is based on inspiration, enthusiasm, and confidence?","Charismatic",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Charismatic leadership}} involves inspiring others through personal energy and conviction.","Charismatic leadership",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which leadership style combines transactional, transformational, and charismatic approaches?","Interactional",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Interactional leadership}} blends multiple leadership models depending on context and needs.","Interactional leadership",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"Which personality trait refers to accepting others and showing genuine concern?","Authentic",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which personality trait involves applying appropriate behavior and etiquette?","Courteous",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which trait describes the ability to think abstractly and innovate?","Creative",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What personality trait involves sensitivity to other cultures and norms?","Cultural",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which trait relates to perceiving and managing emotions?","Emotional",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which trait reflects a measure of intelligence across various aptitudes?","Intellectual",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What trait involves understanding and applying effective management practices?","Managerial",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which trait helps a project manager influence decisions and navigate politics?","Political",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What trait indicates a project manager's willingness to help others?","Service-oriented",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"Which personality trait is about understanding and managing people?","Social",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What does systemic personality refer to?","The drive to understand and build systems.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"What is the focus of integration at the process level?","Coordinating overlapping and interacting project management processes like scope, schedule, and change control.",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"{{c1::Integration at the process level}} involves managing changes and dependencies among project activities.","Integration at the process level",KA::Integration ECO::Process,Cloze,
PMBOK6 - Core Terms,"What is required for integration at the cognitive level?","Experience, insight, leadership, and a deep understanding of all Knowledge Areas.",KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,"{{c1::Integration at the cognitive level}} draws upon the project manager's judgment, insight, and skill.","Integration at the cognitive level",KA::Integration ECO::People,Cloze,
PMBOK6 - Core Terms,"How does integration at the context level differ from other levels?","It involves awareness of external factors like culture, technology, and organizational dynamics.",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,"{{c1::Integration at the context level}} requires consideration of multicultural teams, virtual environments, and social networks.","Integration at the context level",KA::Integration ECO::Business,Cloze,
PMBOK6 - Core Terms,"What are the three dimensions of complexity in a project?","System behavior, Human behavior, and Ambiguity.",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"{{c1::System behavior, human behavior, and ambiguity}} are the three key sources of project complexity.","System behavior, human behavior, and ambiguity",KA::Integration ECO::Process,Cloze,
PMBOK6 - Core Terms,"What makes a project 'contain' complexity rather than be complex?","Multiple interconnected components with emergent behaviors that can't be understood by analyzing parts in isolation.",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"What should a project manager examine when dealing with project complexity?","The characteristics, interconnections, and dynamic interactions of the project's parts.",KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,What is the unique responsibility of the project manager in Project Integration Management?,Project Integration Management is specific to the project manager and cannot be delegated. The project manager integrates all Knowledge Areas and holds accountability for the project as a whole.,KA::Integration ECO::Process PG::Executing,Basic,
PMBOK6 - Core Terms,"{{c1::Project Integration Management}} involves ensuring the deliverable due dates, life cycle, and benefits plan are aligned.",Project Integration Management,KA::Integration ECO::Process PG::Planning,Cloze,
PMBOK6 - Core Terms,Name three examples of evolving trends in Project Integration Management.,"Automated tools, visual management tools, and expanded project manager responsibilities.",KA::Integration ECO::Business PG::Executing,Basic,
PMBOK6 - Core Terms,"{{c1::Hybrid methodologies}} are emerging in Project Integration Management, combining agile, business analysis, and change management techniques.",Hybrid methodologies,KA::Integration ECO::Business PG::Executing,Cloze,
PMBOK6 - Core Terms,Why is tailoring important in Project Integration Management?,"Because each project is unique, and considerations like life cycle, development approach, governance, and benefits realization require adaptation of integration processes.",KA::Integration ECO::Process PG::Planning,Basic,
PMBOK6 - Core Terms,{{c1::Adaptive environments}} emphasize collaboration and local domain expertise in integration management.,Adaptive environments,KA::Integration ECO::People PG::Executing,Cloze,
PMBOK6 - Core Terms,What is the main purpose of the project charter in a project?,To formally authorize the project and grant the project manager authority to use organizational resources.,KA::Integration PG::Initiating ECO::Process,Basic,
PMBOK6 - Core Terms,Who typically approves the project charter?,The project sponsor or initiator who has the authority to commit organizational resources.,KA::Integration PG::Initiating ECO::Business,Basic,
PMBOK6 - Core Terms,What type of document provides a direct link between the project and the strategic objectives of the organization?,The project charter.,KA::Integration PG::Initiating ECO::Strategy,Basic,
PMBOK6 - Core Terms,Why is the project charter not considered a contract?,Because it does not involve an exchange of consideration or a legally binding agreement.,KA::Integration PG::Initiating ECO::Business,Basic,
PMBOK6 - Core Terms,What should a project manager do if assumptions are identified during charter development?,Record them in the assumption log for ongoing review throughout the project.,KA::Integration PG::Initiating ECO::Process,Basic,
PMBOK6 - Core Terms,Which tool or technique would be most useful in gathering initial requirements and success criteria from stakeholders?,Interviews.,KA::Integration PG::Initiating ECO::People,Basic,
PMBOK6 - Core Terms,When is the project manager ideally assigned to the project?,While the project charter is being developed and always before planning begins.,KA::Integration PG::Initiating ECO::People,Basic,
PMBOK6 - Core Terms,What role does expert judgment play in developing the project charter?,"It provides insights from experienced individuals on strategy, risk, duration, and budget estimates.",KA::Integration PG::Initiating ECO::Business,Basic,
PMBOK6 - Core Terms,What is the role of the Project Management Plan (PMP)?,"It is the integrated document that defines how the project is executed, monitored, controlled, and closed. It serves as the single source of truth for managing the project.",KA::Integration PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,Why is the Project Management Plan baselined?,"Once baselined, changes require approval via Perform Integrated Change Control, ensuring controlled updates and alignment.",KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,What distinguishes the PMP from project documents?,Project documents support management but are not part of the PMP. The PMP is a formal plan; documents like the risk register or stakeholder register are separate.,KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,What is the significance of tailoring in the context of the PMP?,"The PMP should reflect tailoring decisions based on organizational governance and environment, especially in hybrid or agile contexts.",KA::Integration ECO::Business,Basic,
PMBOK6 - Core Terms,What is the purpose of the project kick-off meeting?,"It aligns the team and marks the transition from planning to execution, typically occurring at the end of planning.",KA::Integration PG::Executing ECO::People,Basic,
PMBOK6 - Core Terms,How is the PMP updated after it is baselined?,"Any change must go through Perform Integrated Change Control, ensuring controlled and documented updates.",KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,What is the purpose of the Scope Management Plan?,"It defines how the scope will be defined, developed, monitored, controlled, and validated.",KA::Scope PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What does the Requirements Management Plan describe?,"It outlines how requirements will be analyzed, documented, and managed throughout the project.",KA::Scope PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What does the Schedule Management Plan establish?,"It defines the criteria and methods for developing, monitoring, and controlling the project schedule.",KA::Schedule PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What is the goal of the Cost Management Plan?,"To define how project costs will be planned, structured, and controlled.",KA::Cost PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,How does the Quality Management Plan support the project?,"It establishes how quality policies, methodologies, and standards will be implemented in the project.",KA::Quality PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What does the Resource Management Plan outline?,"It provides guidance on categorizing, allocating, managing, and releasing project resources.",KA::Resource PG::Planning ECO::People,Basic,
PMBOK6 - Core Terms,What is described in the Communications Management Plan?,"It explains how, when, and by whom project information will be administered and disseminated.",KA::Communication PG::Planning ECO::People,Basic,
PMBOK6 - Core Terms,What does the Risk Management Plan establish?,It outlines how risk management activities will be structured and performed.,KA::Risk PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What is defined in the Procurement Management Plan?,It specifies how goods and services will be acquired from outside the performing organization.,KA::Procurement PG::Planning ECO::Business,Basic,
PMBOK6 - Core Terms,How does the Stakeholder Engagement Plan assist the project?,"It describes how stakeholders will be engaged based on their needs, interests, and influence.",KA::Stakeholder PG::Planning ECO::People,Basic,
PMBOK6 - Core Terms,What is the Scope Baseline used for?,"It includes the approved scope statement, WBS, and WBS dictionary, used as a comparison basis.",KA::Scope PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What is the Schedule Baseline?,The approved version of the project schedule model used to measure actual progress.,KA::Schedule PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What is the Cost Baseline?,"The approved, time-phased budget used to compare actual project spending.",KA::Cost PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,Why is the Change Management Plan important?,It defines how change requests are formally authorized and incorporated into the project.,KA::Integration PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What is described in the Configuration Management Plan?,It ensures consistent tracking and updating of project components throughout the lifecycle.,KA::Integration PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,What does the Performance Measurement Baseline include?,An integrated scope-schedule-cost plan used to measure project performance.,KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,What is the Project Life Cycle?,It describes the phases a project passes through from initiation to closure.,KA::Integration PG::Initiating ECO::Process,Basic,
PMBOK6 - Core Terms,What does the Development Approach define?,"It outlines the model used to develop the product (predictive, iterative, agile, or hybrid).",KA::Integration PG::Planning ECO::Process,Basic,
PMBOK6 - Core Terms,Why are Management Reviews part of the PMP?,They define checkpoints where stakeholders assess project performance and determine actions.,KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,"During project execution, your team completes a deliverable, but a stakeholder reports it doesn't meet requirements. What should you do first?","Log the issue in the issue log and assess its impact, then initiate a change request if necessary.",KA::Integration PG::Executing ECO::Process,Basic,
PMBOK6 - Core Terms,You notice that actual project performance data shows a delay in one of the critical tasks. What is your next step?,Capture the data as work performance data and analyze it to determine necessary corrective action.,KA::Integration PG::Executing ECO::Business,Basic,
PMBOK6 - Core Terms,A team member raises a defect during execution. What type of action should be initiated if the defect affects deliverable quality?,Submit a defect repair change request and log the issue for tracking.,KA::Integration PG::Executing ECO::Process,Basic,
PMBOK6 - Core Terms,What should the project manager do if an external stakeholder submits a change request that could significantly affect scope?,"Log the request, analyze the impact, and submit it through Perform Integrated Change Control.",KA::Integration PG::Executing ECO::Business,Basic,
PMBOK6 - Core Terms,You're managing a hybrid project and stakeholders expect frequent reviews. Which tool would best support this in Direct and Manage Project Work?,"Conduct regular meetings, such as sprint reviews or progress updates, and use PMIS to track performance data.",KA::Integration PG::Executing ECO::People,Basic,
PMBOK6 - Core Terms,"During a retrospective, a project team discusses what worked well and what didn't. Which project document should be updated to capture this information?",Lessons learned register,KA::Integration PG::Executing ECO::Process,Basic,
PMBOK6 - Core Terms,A project manager wants to capture both tacit and explicit knowledge for future use. Which process should they focus on?,Manage Project Knowledge,KA::Integration PG::Executing ECO::Process,Basic,
PMBOK6 - Core Terms,What type of knowledge is most effectively shared through face-to-face conversation and storytelling?,Tacit knowledge,KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,In what situation would a project manager use knowledge management tools like communities of practice and knowledge-sharing workshops?,To facilitate sharing of tacit knowledge among team members,KA::Integration ECO::People,Basic,
PMBOK6 - Core Terms,A project team uses a document repository and PMIS to store reports and procedures. What type of knowledge are they managing?,Explicit knowledge,KA::Integration ECO::Process,Basic,
PMBOK6 - Core Terms,"During a project review meeting, you discover that actual project spending is significantly higher than planned. What should you do next?",Conduct variance analysis and possibly raise a change request if corrective action is needed.,KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,You are asked to report the overall health of the project to senior stakeholders. What document should you prepare?,"Work performance reports, which compile analyzed performance data for decision-making.",KA::Integration PG::Monitoring ECO::Business,Basic,
PMBOK6 - Core Terms,A key stakeholder expresses concern about potential delays. What technique should you use to forecast future schedule performance?,"Trend analysis, which projects future performance based on historical data.",KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,The project manager notices frequent changes and wants to assess their cumulative impact. What analysis technique is appropriate?,"Earned value analysis to integrate scope, schedule, and cost performance.",KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,A project team identifies a deviation from the schedule baseline. What should be done before updating the schedule?,Submit a change request and perform impact analysis via Monitor and Control Project Work.,KA::Integration PG::Monitoring ECO::Process,Basic,
PMBOK6 - Core Terms,"During execution, a project team discovers a need to adjust the project schedule due to a new stakeholder requirement. What must the project manager do before implementing this change?",Submit a formal change request for review through the Perform Integrated Change Control process.,KA::Integration PG::Monitoring_Control ECO::Process,Basic,
