ID,deck,front,back,tags,note_type,media
34,PMBOK6::Stakeholder,What is the purpose of the Plan Stakeholder Engagement process?,Develop stakeholder engagement strategies,KA::Stakeholder PG::Planning,Basic,
35,PMBOK6::Stakeholder,What is the key benefit of Plan Stakeholder Engagement?,Actionable engagement plan,KA::Stakeholder PG::Planning,Basic,
36,PMBOK6::Stakeholder,{{c1::Stakeholder engagement plan}} is updated when new phases or changes in stakeholders occur.,Engagement plan updates,KA::Stakeholder PG::Planning,Cloze,
37,PMBOK6::Stakeholder,{{c1::Prioritization}} is a decision-making technique used to rank stakeholders and their requirements.,Prioritization,KA::Stakeholder PG::Planning,Cloze,
38,PMBOK6::Stakeholder,What is a stakeholder engagement assessment matrix?,Tool comparing current vs. desired engagement,KA::Stakeholder PG::Planning,Basic,
39,PMBOK6::Stakeholder,What is the 'Unaware' level of stakeholder engagement?,Not aware of the project,KA::Stakeholder PG::Planning,Basic,
40,PMBOK6::Stakeholder,What is the 'Resistant' level of stakeholder engagement?,Aware but unsupportive,KA::Stakeholder PG::Planning,Basic,
41,PMBOK6::Stakeholder,What is the 'Neutral' level of stakeholder engagement?,Aware but indifferent,KA::Stakeholder PG::Planning,Basic,
42,PMBOK6::Stakeholder,What is the 'Supportive' level of stakeholder engagement?,Aware and supportive,KA::Stakeholder PG::Planning,Basic,
43,PMBOK6::Stakeholder,{{c1::Stakeholder engagement plan}} defines strategies to promote involvement in decisions and execution.,Stakeholder plan content,KA::Stakeholder PG::Planning,Cloze,
