ID,deck,front,back,tags,note_type,media
73,PMBOK6::Cost,What process is required to change the cost baseline?,Formal change control,KA::Cost PG::Planning,Basic,
74,PMBOK6::Cost,What is the cost baseline used to compare?,Planned vs. actual results,KA::Cost PG::Planning,Basic,
75,PMBOK6::Cost,What makes up control account costs?,Work package costs + contingency reserves,KA::Cost PG::Planning,Basic,
76,PMBOK6::Cost,What does summing control accounts produce?,Cost baseline,KA::Cost PG::Planning,Basic,
77,PMBOK6::Cost,What view is enabled by tying cost to schedule?,Time-phased S-curve,KA::Cost PG::Planning,Basic,
78,PMBOK6::Cost,"In EVM, what is another name for the cost baseline?",Performance measurement baseline,KA::Cost PG::Planning,Basic,
79,PMBOK6::Cost,How are management reserves moved into the cost baseline?,Through change control,KA::Cost PG::Planning,Basic,
80,PMBOK6::Cost,What does funding limit reconciliation sometimes require?,Rescheduling work,KA::Cost PG::Planning,Basic,
81,PMBOK6::Cost,Why is monitoring expenditures alone of limited value?,It ignores value of work done,KA::Cost PG::Monitoring,Basic,
82,PMBOK6::Cost,What is Planned Value (PV)?,Authorized budget for scheduled work,KA::Cost PG::Monitoring,Basic,
83,PMBOK6::Cost,What is Earned Value (EV)?,Budget for work completed,KA::Cost PG::Monitoring,Basic,
84,PMBOK6::Cost,What is Actual Cost (AC)?,Cost incurred for work done,KA::Cost PG::Monitoring,Basic,
85,PMBOK6::Cost,What is Schedule Variance (SV)?,EV - PV,KA::Cost PG::Monitoring,Basic,
86,PMBOK6::Cost,What is Cost Variance (CV)?,EV - AC,KA::Cost PG::Monitoring,Basic,
87,PMBOK6::Cost,What is Schedule Performance Index (SPI)?,EV ÷ PV,KA::Cost PG::Monitoring,Basic,
88,PMBOK6::Cost,What is Cost Performance Index (CPI)?,EV ÷ AC,KA::Cost PG::Monitoring,Basic,
89,PMBOK6::Cost,What is trend analysis used for?,Assess cost/schedule performance trends,KA::Cost PG::Monitoring,Basic,
90,PMBOK6::Cost,What is the formula for EAC (budgeted rate)?,EAC = AC + (BAC - EV),KA::Cost PG::Monitoring,Basic,
91,PMBOK6::Cost,What is the formula for EAC (CPI-based)?,EAC = BAC ÷ CPI,KA::Cost PG::Monitoring,Basic,
92,PMBOK6::Cost,What is the formula for EAC (CPI and SPI)?,EAC = AC + [(BAC - EV)/(CPI × SPI)],KA::Cost PG::Monitoring,Basic,
93,PMBOK6::Cost,What is the formula for EAC (manual)?,EAC = AC + Bottom-up ETC,KA::Cost PG::Monitoring,Basic,
94,PMBOK6::Cost,What is To-Complete Performance Index (TCPI)?,Required efficiency to meet goal,KA::Cost PG::Monitoring,Basic,
95,PMBOK6::Cost,What is the TCPI formula using BAC?,TCPI = (BAC - EV) ÷ (BAC - AC),KA::Cost PG::Monitoring,Basic,
96,PMBOK6::Cost,What is the TCPI formula using EAC?,TCPI = (BAC - EV) ÷ (EAC - AC),KA::Cost PG::Monitoring,Basic,
